id,Created (UTC),Amount,Currency,Amount Refunded,Description,Customer Name,Customer Email,Customer Phone,Billing Address 1,Billing City,Billing State,Billing Zip,Payment Method Type,Card Brand,Card Last4,Receipt Number,Status,Fee,Net,Metadata[campaign],Metadata[fund],Metadata[utm_source],Metadata[utm_campaign],Balance Transaction
ch_b25sq8croyr6,2025-08-19 07:43:28,5000,usd,0,Donation,Harper Brown,harper.brown@test.org,608.536.5564,5738 Pine St,Phoenix,AZ,85004,card,mastercard,5505,9984-846746,succeeded,190,4810,Gala & Auction 2025,Emergency Relief,,year-end,txn_qvdz4x1zhqim
ch_j8yrddp0nec8,2025-07-05 20:26:04,1500,usd,0,Monthly gift,Fatima Adams,fatima.adams@example.org,912.730.8611,100 Oak Ave,Denver,CO,80202,card,discover,,1842-401601,succeeded,44,1456,Year-End Appeal 2025,Scholarship Fund,google,giving-tuesday,txn_fr4muekipu1w
ch_j17mgfxc08dt,2025-09-05 05:11:26,10000,usd,0,One-time contribution,Greenway Landscaping Co.,donations@greenwaylandscapingco.example,(907) 842-4978,9443 Hillcrest Rd,Seattle,WA,98101,card,mastercard,6314,2391-155164,succeeded,320,9680,Community Care Fund,Program: Childcare Grants,,spring25,txn_yjxrpj1epkyr
ch_811kerpetiuy,2025-02-18 15:19:13,7500,usd,0,Monthly gift,Jun Lewis,jun.lewis@example.com,(551) 408-5325,"9074 Maple Dr, Unit 388",Charlotte,NC,28202,card,visa,8532,2275-428267,succeeded,195,7305,Emergency Relief,Capital Improvements,direct,,txn_ko8g8qynpdpo
ch_gses6m033ifh,2025-07-04 16:48:46,50000,usd,0,Online donation,Hana O’Connor,hana.oconnor@example.org,+1-469-964-8019,2350 Pine St,Phoenix,AZ,85004,card,discover,8354,6295-757685,succeeded,1480,48520,Gala & Auction 2025,Program: Childcare Grants,direct,spring25,txn_qw2vmcqbnkx9
ch_26q3xlrfcd6m,2025-09-27 20:17:37,4000,usd,0,Donation,Hana O’Connor,hana.oconnor@example.org,+1-469-964-8019,2350 Pine St,Phoenix,AZ,85004,ach_credit_transfer,discover,,9586-648141,succeeded,116,3884,Community Care Fund,Scholarship Fund,instagram,year-end,txn_n1ybwmlunj48
ch_lxxezduxlez8,2025-03-31 09:34:51,7500,usd,0,Donation,Blue Ridge Insurance Group,donations@blueridgeinsurancegroup.example,404.220.3496,3683 Oak Ave,Miami,FL,33130,card,visa,3953,4509-458332,succeeded,270,7230,Monthly Sustainers,Program: Childcare Grants,newsletter,giving-tuesday,txn_fk2st0sx5wvf
ch_oyipk0qtl3q4,2025-12-20 20:41:51,30000,usd,0,Monthly gift,Ava Garcia,ava.garcia@example.com,(335) 940-8744,"8433 Cedar Ln, Apt 18",Charlotte,NC,28202,card,amex,9239,9641-538997,succeeded,660,29340,Community Care Fund,Program: Childcare Grants,,giving-tuesday,txn_5brn7zsedfqs
ch_oonncildzmfb,2025-03-08 14:49:56,100000,usd,0,One-time contribution,Mary-Kate Anderson,mary-kate.anderson@mail.example,+1-652-891-4501,7053 Lakeview Ave,Nashville,TN,37203,ach_credit_transfer,discover,1086,2298-119927,succeeded,2900,97100,Year-End Appeal 2025,Program: Childcare Grants,newsletter,,txn_ekkbp2qd6vas
ch_ugysm8t2sa5b,2025-11-07 01:19:06,4000,usd,0,One-time contribution,Evelyn Clark,evelyn.clark@example.org,743.361.1931,"946 Main St, Unit 588",Miami,FL,33130,us_bank_account,visa,2106,6649-352838,succeeded,88,3912,Back-to-School Drive,Capital Improvements,instagram,giving-tuesday,txn_bt3g2qzw3c1q
