Transaction #,Order date,Supporter First name,Supporter Last name,Supporter full name,Supporter email,Supporter phone,Street address,City,State/Province,Postal code,Country,Contribution type,Campaign / Event,Item name,Quantity,Donation $,Tip $,Total charged,Payment method,Card last4,Status,Custom Q: How did you hear about us?,Marketing opt-in
ZF-641722,12/07/2025,Chloé,Scott,Chloé Scott,chloe.scott@test.org,540.621.5065,2672 Maple Dr,Nashville,TN,37203,US,Membership,Giving Tuesday 2025,Gala Ticket,3,$225.00,3,228.00 USD,Apple Pay,9041,Paid,Event,TRUE
ZF-460455,07/08/2025,Cash Donor,,Cash Donor,,,,,,,US,Ticket,Emergency Relief,Annual Membership,3,$225.00,15,240.00 USD,card,5118,Paid,Instagram,TRUE
ZF-718226,03/19/2025,Aria,Johnson,Aria Johnson,aria.johnson@example.com ,+1-637-774-1158,"2153 Pine St, Apt 11",Miami,FL,33130,US,Ticket,Year-End Appeal 2025,Gala Ticket,2,100,15,115.00 USD,ACH,,Paid,Friend,FALSE
ZF-701949,09/03/2025,Mia,Moore,Mia Moore,mia.moore@mail.example,+1-886-473-2169,4564 River Rd,Columbus,OH,43215,US,Membership,Year-End Appeal 2025,5K Registration,2,$240.00,0,240.00 USD,card,8827,Paid,Friend,TRUE
ZF-360247,09/13/2025,Marisol,Jackson,Marisol Jackson,marisol.jackson@example.org,610.474.2084,3608 Sunset Blvd,Raleigh,NC,27601,US,Donation,Back-to-School Drive,General Donation,1,$75.00,3,78.00 USD,Apple Pay,7232,Paid,Event,
ZF-377501,07/17/2025,,,North Star Rotary Club,donations@northstarrotaryclub.example,+1-967-752-1853,4568 Hillcrest Rd,Columbus,OH,43215,US,Membership,Back-to-School Drive,Gala Ticket,1,$35.00,2,37,Apple Pay,,Paid,Event,
ZF-926097,05/23/2025,Fatima,Khan,Fatima Khan,fatima.khan@test.org ,(913) 948-8973,"45 Hillcrest Rd, Apt 17",Columbus,OH,43215,US,Membership,Giving Tuesday 2025,5K Registration,4,$140.00,2,142.00 USD,Apple Pay,3330,Paid,Friend,TRUE
ZF-833723,09/20/2025,Check Donor,,Check Donor,,,"4435 Lakeview Ave, Apt 35",,,27601,US,Membership,Emergency Relief,5K Registration,4,$140.00,15,155.00 USD,card,8078,Paid,,TRUE
ZF-283700,03/08/2025,Marisol,Hernández,Marisol Hernández,marisol.hernandez@example.org,544.304.2519,6934 Sunset Blvd,Denver,CO,80202,US,Ticket,Monthly Sustainers,Annual Membership,1,75,0,75,Apple Pay,8141,Paid,,
ZF-445824,06/16/2025,Jun,Jackson,Jun Jackson,jun.jackson@example.com,636.761.8305,9765 Sunset Blvd,Raleigh,NC,27601,US,Donation,Emergency Relief,General Donation,1,100,0,100.00 USD,card,1601,Paid,Event,TRUE
ZF-296694,03/18/2025,Aria,Johnson,Aria Johnson,aria.johnson@example.com ,+1-637-774-1158,"2153 Pine St, Apt 11",Miami,FL,33130,US,Donation,Gala & Auction 2025,General Donation,1,125,15,140.00 USD,card,4335,Paid,Email newsletter,FALSE
ZF-425845,10/30/2025,Harper,Kim,Harper Kim,harper.kim@mail.example,(686) 825-2193,5095 Cedar Ln,Nashville,TN,37203,US,Donation,Spring Fundraiser 2025,General Donation,1,$100.00,2,102.00 USD,card,2924,Paid,,FALSE
ZF-678043,05/25/2025,Instagram Supporter,,Instagram Supporter,,,,,NC,28202,US,Membership,Community Care Fund,5K Registration,4,$480.00,15,495,Apple Pay,5526,Paid,Event,TRUE
ZF-568238,05/15/2025,Marisol,Kim,Marisol Kim,marisol.kim@example.org,+1-263-411-7883,"1062 Hillcrest Rd, Unit 438",Nashville,TN,37203,US,Donation,Monthly Sustainers,General Donation,1,$30.00,15,45,card,6272,Paid,Instagram,FALSE
ZF-795928,12/30/2025,Fatima,Khan,Fatima Khan,fatima.khan@test.org ,(913) 948-8973,"45 Hillcrest Rd, Apt 17",Columbus,OH,43215,US,Donation,Community Care Fund,General Donation,1,$50.00,10,60.00 USD,ACH,8213,Paid,Friend,
ZF-826353,07/10/2025,Cash Donor,,Cash Donor,,,,,,,US,Ticket,Emergency Relief,Annual Membership,1,$120.00,3,123.00 USD,card,8994,Paid,Google search,TRUE
